TrackID,Frame,Timestamp,OriginalText,CleanedText,Confidence,ConsensusCount,TotalPredictions,ConsensusRatio,FramePath,PlatePath
1,52,20250627_123456_869038,WB08P9312,WB08P9312,0.92,5,5,1.00,detection_frames/frame_20250627_123456_869038_ID1_WB08P9312.jpg,recognized_plates/ID1_WB08P9312.jpg
2,153,20250627_123502_244318,WB26BK6451,WB26BK6451,0.89,3,5,0.60,detection_frames/frame_20250627_123502_244318_ID2_WB26BK6451.jpg,recognized_plates/ID2_WB26BK6451.jpg
9,460,20250627_123517_030302,WB08A55O4,WB08A5504,0.86,5,5,1.00,detection_frames/frame_20250627_123517_030302_ID9_WB08A5504.jpg,recognized_plates/ID9_WB08A5504.jpg
13,622,20250627_123524_932738,WB19H9638,WB19H9638,0.94,5,5,1.00,detection_frames/frame_20250627_123524_932738_ID13_WB19H9638.jpg,recognized_plates/ID13_WB19H9638.jpg
15,708,20250627_123529_014916,WB25GOO89,WB25G0089,0.93,4,5,0.80,detection_frames/frame_20250627_123529_014916_ID15_WB25G0089.jpg,recognized_plates/ID15_WB25G0089.jpg
18,764,20250627_123531_691624,WB25GOO89,WB25G0089,0.92,3,5,0.60,detection_frames/frame_20250627_123531_691624_ID18_WB25G0089.jpg,recognized_plates/ID18_WB25G0089.jpg
24,782,20250627_123532_813705,WB25GOO89,WB25G0089,0.92,4,5,0.80,detection_frames/frame_20250627_123532_813705_ID24_WB25G0089.jpg,recognized_plates/ID24_WB25G0089.jpg
22,808,20250627_123534_353396,WB01J6209,WB01J6209,0.95,4,5,0.80,detection_frames/frame_20250627_123534_353396_ID22_WB01J6209.jpg,recognized_plates/ID22_WB01J6209.jpg
25,868,20250627_123537_456601,WB04H5O23,WB04H5023,0.90,5,5,1.00,detection_frames/frame_20250627_123537_456601_ID25_WB04H5023.jpg,recognized_plates/ID25_WB04H5023.jpg
26,983,20250627_123543_007096,UP53BJ3634,UP53BJ3634,0.91,5,5,1.00,detection_frames/frame_20250627_123543_007096_ID26_UP53BJ3634.jpg,recognized_plates/ID26_UP53BJ3634.jpg
27,1111,20250627_123549_405333,WB25G5761,WB25G5761,0.88,3,5,0.60,detection_frames/frame_20250627_123549_405333_ID27_WB25G5761.jpg,recognized_plates/ID27_WB25G5761.jpg
28,1171,20250627_123551_671242,WB82C9892,WB82C9892,0.95,4,5,0.80,detection_frames/frame_20250627_123551_671242_ID28_WB82C9892.jpg,recognized_plates/ID28_WB82C9892.jpg
